id_geometrie_synthese,id_gpu,id_occurrence,message_occurrence,occurrence_corrigee,message_occurrence_corrige,validation_message_commentaire,extrait_significatif,contexte_documentaire,justification,lien_web_document,reference_precise
33,5ef7415de742b3e83e90bd4ca2f8e2f0,3_67482_orientations_amenagement_20230707.pdf,"L'OAP recommande de préserver le jardin comme un espace de confort, de calme et de rafraîchissement. Cette qualité de calme fait partie intégrante de la valeur du site : veillez à ce que votre projet la préserve. Pour approfondir cette orientation, consultez l'OAP page 22.",False,,,"maintenir le jardin comme lieu de confort, calme, et rafraîchissement","…ncernent tant le patrimoine bâti que l’espace paysager. La dégradation du site, notamment due à l’usage du lieu néces- site de trouver aujourd’hui le bon équilibre entre usage / conservation et valorisation. Le secteur représente également un fort enjeu écologique par son rôle de poumon vert au cœur maintenir le jardin comme lieu de confort, calme, et rafraîchissement Nb : Le par cet les clôtures sont partiellement protégés au titre des monuments historiques. J Destination du site J ComPosition du ParC J Paysage et environnement  Conservation de la mission d’enseignement et de  Préservation et mise en valeur de l’esprit du lieu  Préservation et mise en valeur…","Le passage évoque la préservation du jardin comme 'lieu de confort, calme, et rafraîchissement', ce qui constitue une recommandation de préservation d'une zone calme dans le cadre d'une OAP sur un site patrimonial précis (jardin/parc), donc à portée géométrique spécifique et non un simple renvoi au classement sonore ou au PEB.",https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_orientations_amenagement_20230707.pdf,page 22
34,5ef7415de742b3e83e90bd4ca2f8e2f0,4_67482_orientations_amenagement_20230707.pdf,"L'OAP du secteur PSMV ""abords de la Cathédrale"" (page 26) recommande d'améliorer le confort sonore de cet espace public par l'introduction de végétal. Il s'agit d'une piste d'aménagement, non d'une obligation. Pensez-y dans la conception des espaces extérieurs de votre projet : le végétal peut contribuer au confort acoustique du lieu, au bénéfice des riverains et visiteurs.",False,,,Améliorer le confort sonore par l’introduction de végétal.,"….  Interdire l’accessibilité des véhicules et le station- en valeur. La fréquentation touristique importante du lieu induit nement. de nombreuses terrasses et espaces extérieurs des com- L’espace doit rester prioritairement voué aux déplace- merces sur l’espace public. Il est important de cadrer et Améliorer le confort sonore par l’introduction de végétal. végétal. Le maintien d’un espace dégagé offre la possibilité de créer un marché, ce qui permet, à la fois de retrouver une vocation historique de la place mais aussi, pour les habi- tants et riverains, de se la réapproprier.  Intégrer des éléments urbains de confort ou de multiservice tout en limit…","Le passage évoque une recommandation d'aménagement urbain visant à 'améliorer le confort sonore par l'introduction de végétal' sur une place publique spécifique. Il ne s'agit pas d'un renvoi au classement sonore ou au PEB, mais d'une règle autonome propre à l'OAP concernant cet espace particulier. La formulation est cependant coupée entre le passage et le contexte après, ce qui limite la clarté de l'extrait.",https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_orientations_amenagement_20230707.pdf,page 26
2,5ef7415de742b3e83e90bd4ca2f8e2f0,2_67482_reglement_20230707.pdf,"Votre parcelle est concernée par le PSMV, secteur au périmètre patrimonial protégé. L'article 7 permet d'améliorer l'habitabilité des locaux existants : isolation acoustique, isolation thermique, hygiène, accessibilité. Ces modifications restent conditionnées à la préservation des éléments de valeur patrimoniale et historique du bâtiment. Avant travaux, vérifiez la compatibilité de votre projet avec ces exigences patrimoniales, dans l'intérêt du bâti et du quartier.",False,,,"Des modifications peuvent être autorisées dans le but de l’amélioration de l’habitabilité des locaux notamment hygiène, isolation thermique et acoustique, accessibilité, … sous conditions de ne pas altérer des éléments de valeur patrimoniale et historique.","…ppartenant à l’immeuble par nature ou destination. Leur maintien en place et leur restauration devront être assurés dans les mêmes conditions que les éléments extérieurs. Des modifications peuvent être autorisées dans le but de l’amélioration de l’habitabilité des locaux notamment hygiène, isolation Des modifications peuvent être autorisées dans le but de l’amélioration de l’habitabilité des locaux notamment hygiène, isolation thermique et acoustique, accessibilité, … sous conditions de ne pas altérer des éléments de valeur patrimoniale et historique. Les immeubles concernés ont un intérêt par la façade urbaine qu’ils constituent, leur gabarit, leur composition, leur typologie et les perspectives qu’ils encadrent. 07-52 La démolition est interdite sauf mention particulière figurant au document graphique. Les modifications autorisées contribuent à…","Le passage autorise des modifications intérieures pour améliorer l'habitabilité des locaux, notamment l'isolation acoustique, sous réserve de préserver les éléments patrimoniaux. C'est une règle liée aux bâtiments (isolation acoustique intérieure), donc dans le périmètre diagBruit, mais formulée comme une autorisation générale plutôt qu'une prescription stricte.",https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_reglement_20230707.pdf,Article 7
2,5ef7415de742b3e83e90bd4ca2f8e2f0,4_67482_reglement_20230707.pdf,"Cette parcelle est soumise au PSMV (article 4). Si une menuiserie est trop dégradée ou ne répond plus à vos besoins d'isolation thermique et acoustique, son remplacement est autorisé. Respectez alors les dispositions historiques et la datation de la façade : matériau, dessin et profils d'origine sont imposés. Faites appel à un professionnel qualifié pour concilier confort acoustique et exigences patrimoniales.",False,,,Le remplacement d’une menuiserie est autorisé à l’identique des dispositions historiques et en cohérence avec la datation de la façade : • en raison de l’état de dégradation de la menuiserie existante et du besoin d’amélioration thermique et acoustique,"…menuiserie sont : lexique annexé • La modification d’une porte sur gonds pour repose dans un cadre dans le cas d’absence de dégagement formant un sas thermique. Le cadre dormant devra être le plus discret possible. • La modification pour motorisation. Les dispositifs de motorisation sont dissimulés. Le remplacement d’une menuiserie est autorisé à l’identique des dispositions historiques et en cohérence avec la datation de la façade : • en raison de l’état de dégradation de la menuiserie existante et du besoin d’amélioration thermique et acoustique • pour restituer un état historique connu afin de requalifier une façade, notamment une double menuiserie extérieure, ou intérieure. La restitution du matériau, du dessin et des profils des dispositions historiques est imposée. Création de menuiserie La création d’une menuiserie est autorisée : • po…","Le passage autorise le remplacement d'une menuiserie ancienne à l'identique en cas de besoin d'amélioration acoustique, ce qui constitue une règle relative aux bâtiments (menuiseries) et à leur isolement phonique, dans le périmètre diagBruit. Il ne s'agit pas d'un renvoi au classement sonore ou au PEB, mais d'une prescription patrimoniale propre au PSMV encadrant les travaux d'amélioration acoustique des menuiseries.",https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_reglement_20230707.pdf,Article 4
2,5ef7415de742b3e83e90bd4ca2f8e2f0,5_67482_reglement_20230707.pdf,Le PSMV (article 4) autorise la pose d'une double menuiserie intérieure (porte ou fenêtre) pour améliorer l'isolation thermique et acoustique du bâtiment. Cette solution permet de renforcer le confort sonore des résidents sans modifier la façade extérieure. Condition à respecter : les décors intérieurs existants ne doivent être ni dégradés ni supprimés. Faites vérifier la conformité de votre projet par un professionnel avant travaux.,False,,,"pour l’amélioration thermique et acoustique du bâtiment, par la pose d’une double menuiserie intérieure (porte ou fenêtre)","…ité et le remplacement de verre. Remplacement Le remplacement d’une menuiserie est autorisé à l’identique des dispositions historiques et en cohérence avec la datation de la façade : • en raison de l’état de dégradation de la menuiserie existante et du besoin d’amélioration thermique et acoustique ; pour l’amélioration thermique et acoustique du bâtiment, par la pose d’une double menuiserie intérieure (porte ou fenêtre) conditions de ne pas dégrader ou supprimer des décors intérieurs. Le dessin de la menuiserie neuve doit être cohérent avec celui de la menuiserie extérieure. • pour l’amélioration thermique du bâtiment par la pose d’une double menuiserie extérieure selon un modèle historique et appliqué sur toutes l…","Le passage autorise la création de menuiseries (double menuiserie intérieure ou extérieure) pour l'amélioration acoustique du bâtiment, dans le cadre d'un règlement PSMV sur les modifications de façades. Cette règle concerne bien les bâtiments (menuiseries) et non une infrastructure de transport, elle relève donc pleinement du périmètre diagBruit avec une confiance forte à totale.",https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_reglement_20230707.pdf,Article 4
2,5ef7415de742b3e83e90bd4ca2f8e2f0,6_67482_reglement_20230707.pdf,"Le PSMV (article 4) autorise le remplacement ou la modification des ouvrages en surplomb pour améliorer leur isolation acoustique ou thermique, ou pour répondre à des exigences de sécurité du public. Cette possibilité reste conditionnée : les travaux doivent respecter la composition architecturale, les matériaux et les dispositions décoratives et structurelles historiques du bâtiment. Faites vérifier votre projet par un professionnel qualifié en amont, pour concilier amélioration acoustique et préservation du patrimoine bâti.",False,,,"Le remplacement et la modification peuvent être autorisés pour mise aux normes vis-à-vis de la sécurité du public, de l’amélioration thermique et acoustique, dans le respect de la composition architecturale*, des matériaux et des dispositions décoratives et structurelles historiques.","…nt correspondre aux dispositions historiques. 1.5 Ouvrage en surplomb * Les ouvrages en surplomb* des immeubles de type A (07-50), B (07-52) et sur les façades protégées (07-53) sont conservés et restaurés. La restitution est autorisée selon des dispositions structurelles et décoratives historiques. Le remplacement et la modification peuvent être autorisés pour mise aux normes vis-à-vis de la sécurité du public, de l’amélioration thermique et acoustique, dans le respect de la composition architecturale*, des matériaux et des dispositions décoratives et structurelles historiques. d’origine de la construction de l’ouvrage, est imposée. 1.5.1 Balcons Modification des balcons existants Sont autorisées, sur les immeubles de type A (07-50) et sur les façades protégées (07-53) en cohérence avec la composition architecturale* et les dispositions historiques : • La réalisation d’une…","Le passage autorise le remplacement/modification d'ouvrages en surplomb (balcons, éléments de façade) pour mise aux normes en matière d'amélioration acoustique, sous réserve de respecter la composition architecturale historique. C'est une règle liée à l'amélioration acoustique des bâtiments existants, dans le périmètre diagBruit, applicable à l'ensemble du document (pas de zone spécifique mentionnée).",https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_reglement_20230707.pdf,Article 4
2,5ef7415de742b3e83e90bd4ca2f8e2f0,7_67482_reglement_20230707.pdf,Votre bâtiment est protégé au titre du PSMV. Vous pouvez remplacer les profils et les verres de vos menuiseries pour améliorer l'isolation thermique et acoustique. Cette intervention doit respecter les dispositions historiques du bâtiment. Consultez l'article 4 du règlement et rapprochez-vous de l'architecte des Bâtiments de France avant travaux.,False,,,Le remplacement des profils et des verres pour une amélioration thermique et acoustique est autorisé selon les dispositions historiques.,"…res dont la surface est supérieure à 1 m² sont redivisées par un ou plusieurs petits bois dans le sens de la plus grande longueur. Le verre est transparent et incolore. Les verrières des immeubles de type A (07-50) et B (07-52) sont conservées ou restaurées conformément aux dispositions historiques. Le remplacement des profils et des verres pour une amélioration thermique et acoustique est autorisé selon les dispositions historiques. Les descentes d’eaux pluviales sont disposées aux extrémités des façades ou selon un rythme respectant la composition architecturale* de la façade. Les boîtes à eau* en façade sont autorisées, s’il s’agit d’une disposition historique. Les dauphins* en partie basse sont en fonte et peints dans le ton…","Le passage autorise le remplacement des profils et des verres des menuiseries pour une amélioration acoustique (en plus de thermique), sous réserve du respect des dispositions historiques. Ceci concerne des bâtiments existants (immeubles protégés au PSMV) et relève donc bien du périmètre diagBruit, il s'agit d'une règle autonome relative à l'isolation acoustique des façades, non liée au classement sonore ou au PEB.",https://www.geoportail-urbanisme.gouv.fr/api/document/5ef7415de742b3e83e90bd4ca2f8e2f0/files/67482_reglement_20230707.pdf,Article 4
6,95d3871caefe158c101a466ab9e91c5b,11_246700488_orientations_amenagement_1_20260206.pdf,"OAP intercommunale « Porte de Hausbergen » (p.306) : les espaces verts peuvent être épaissis en façade Sud-Est, entre la VLIO et les secteurs résidentiels du Prévert et de la rue Marcel Pagnol. Objectifs proposés : accueillir jardins familiaux et espaces de jeux, et constituer une protection phonique contre le bruit de la VLIO. Il s'agit d'une recommandation, non d'une obligation : envisagez cet épaississement végétal pour limiter l'exposition sonore des résidents voisins.",False,,,"Ces espaces verts peuvent être épaissis, notamment en façade Sud-Est entre la VLIO et les secteurs résidentiels du Prévert et de la rue Marcel Pagnol, pour accueillir par exemple des jardins familiaux et des espaces de jeux de plein air et pour constituer une protection phonique par rapport aux nuisances sonores émises par la VLIO.","…e grand paysage. Ces espaces verts peuvent être épaissis, notamment en façade Sud-Est entre la VLIO et les secteurs résidentiels du Prévert et de la rue Marcel Pagnol, pour accueillir par exemple des jardins familiaux et des espaces de jeux de plein air et pour constituer une protection phonique par Ces espaces verts peuvent être épaissis, notamment en façade Sud-Est entre la VLIO et les secteurs résidentiels du Prévert et de la rue Marcel Pagnol, pour accueillir par exemple des jardins familiaux et des espaces de jeux de plein air et pour constituer une protection phonique par rapport aux nuisances sonores émises par la VLIO. L'espace paysagé central de l'allée Saint-Sauveur le Vicomte sera prolongé afin d'assurer une continuité urbaine et paysagère avec l'urbanisation déjà existante. Il sera prolongé jusqu'au chemin rural en limite de zone et accueillera un cheminement doux. La voie à créer sur la façade Sud-Est du sect…","Le passage recommande d'épaissir les espaces verts en façade Sud-Est pour constituer une protection phonique contre les nuisances sonores de la VLIO, au bénéfice des secteurs résidentiels avoisinants. Il s'agit d'une règle d'aménagement urbain (espaces verts/plantations) visant à protéger l'urbanisation existante du bruit, ce qui relève bien du périmètre diagBruit et non d'un simple renvoi au classement sonore.",https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page 306
7,95d3871caefe158c101a466ab9e91c5b,12_246700488_orientations_amenagement_1_20260206.pdf,"L'OAP intercommunale du secteur de la zone d'activité des Maréchaux le précise : au-delà de l'isolation phonique des bâtiments, pensez la composition urbaine du projet pour limiter le bruit. Deux leviers sont mentionnés : l'implantation du bâti, la hauteur du bâti. Ces éléments peuvent être conçus pour réduire les nuisances sonores, en complément de l'isolation acoustique. Consultez l'OAP (p.312) pour situer précisément cette recommandation sur votre parcelle.",False,,,"En complément des exigences d’isolation phonique des constructions, la composition globale ainsi que les formes urbaines (implantation et hauteur du bâti) pourront également être conçues de manière à limiter les nuisances sonores.","…a être aménagée. Elle devra être dimensionnée de façon à permettre la circulation des poids lourds. Concernant les modes actifs, l'optimisation des cheminements piétons-cycles sera recherchée pour relier la ZA vers les coeurs de villages. Il s'agira d'aménager une bande cyclable le long de la rue du En complément des exigences d’isolation phonique des constructions, la composition globale ainsi que les formes urbaines (implantation et hauteur du bâti) pourront également être conçues de manière à limiter les nuisances sonores. d’aménagement intégrera cette contrainte. En complément des exigences d’isolation phonique des constructions, la composition globale ainsi que les formes urbaines (implantation et hauteur du bâti) pourront également être conçues de manière à limiter les nuisances sonores. 3.1.3. Intégration qualitat…","Le passage concerne une zone d'aménagement urbain (ZA) exposée au bruit d'une voie ferrée, et prescrit des mesures allant au-delà de la simple isolation phonique standard : la composition urbaine, l'implantation et la hauteur des bâtiments doivent être conçues pour limiter les nuisances sonores. Cela dépasse le simple renvoi à l'isolement acoustique réglementaire lié au classement sonore, et constitue donc une règle autonome relevant du périmètre diagBruit. La portée est limitée à la zone spécifique concernée par cette nuisance (partie Est de la ZA, le long de la voie ferrée).",https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_1_20260206.pdf,page 312
8,95d3871caefe158c101a466ab9e91c5b,12_246700488_orientations_amenagement_2_20260206.pdf,"Cette parcelle se situe dans le secteur OAP « à l'Ouest de la rue des Floralies » à Mundolsheim, exposé aux nuisances sonores de la voie ferrée. Pour limiter ces impacts, l'OAP recommande d'agir sur plusieurs leviers : le maillage des voies, les ouvertures et fermetures visuelles, l'implantation et la hauteur du bâti. L'isolation phonique des constructions peut également contribuer à répondre à cet enjeu. Anticipez ces choix d'aménagement dès la conception de votre projet, pour le confort de vos futurs résidents.",False,,,"Cette zone est soumise aux nuisances sonores liées à la présence de la voie ferrée à l'Ouest. La réussite de ce futur quartier tiendra en grande partie à la prise en compte, en amont, de ces nuisances. Afin de limiter les impacts négatifs, il est possible d’agir sur la composition globale (maillage des voies, ouvertures et fermetures visuelles, ...) et sur les formes urbaines (implantation du bâti, hauteur du bâti,...). Au-delà des préconisations citées ci-dessus, des dispositions en matière de construction pourront également répondre à cet aspect (isolation phonique,…).","…ISATION VIAIRE Une voie d'accès, permettant de desservir la zone, devra être créée sous forme de bouclage se connectant sur la rue des Floralies à l'Est. Elle sera traitée en zone 30 / zone de rencontre. Concernant les modes actifs, l'optimisation des cheminements piétons-cycles sera recherchée pour Cette zone est soumise aux nuisances sonores liées à la présence de la voie ferrée à l'Ouest. La réussite de ce futur quartier tiendra en grande partie à la prise en compte, en amont, de ces nuisances. Afin de limiter les impacts négatifs, il est possible d’agir sur la composition globale (maillage des voies, ouvertures et fermetures visuelles, ...) et sur les formes urbaines (implantation du bâti, hauteur du bâti,...). Au-delà des préconisations citées ci-dessus, des dispositions en matière de construction pourront également répondre à cet aspect (isolation phonique,…). ouvertures et fermetures visuelles, ...) et sur les formes urbaines (implantation du bâti, hauteur du bâti,...). Au-delà des préconisations citées ci-dessus, des dispositions en matière de construction pourront également répondre à cet aspect (isolation phonique,…). 3.3. INTÉGRATION QUALITATIVE DE L…","Le passage identifie une zone d'OAP soumise aux nuisances sonores de la voie ferrée et recommande d'agir sur la composition urbaine (maillage des voies, implantation et hauteur du bâti) et éventuellement sur l'isolation phonique des constructions pour limiter ces impacts. Il s'agit d'une règle autonome, distincte du classement sonore réglementaire, portant sur l'aménagement et les bâtiments de cette zone spécifique du projet urbain.",https://www.geoportail-urbanisme.gouv.fr/api/document/95d3871caefe158c101a466ab9e91c5b/files/246700488_orientations_amenagement_2_20260206.pdf,page 278
