id_geometrie,territoire_propose,description_slug,alert_slug_propose,message_strapi,message_content,strapi_source,strapi_reference,label_propose,titre_propose,nom_fichier_geometrie,communes
33,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-universite,"Message : Le jardin de l'université est un espace de confort, de calme et de rafraîchissement. Tout projet sur ou proche du site doit anticiper la conservation de la situation sonore apaisée actuelle.
Docs sources : OAP
références : page 22","Le jardin de l'université est un espace de confort, de calme et de rafraîchissement. Tout projet sur ou proche du site doit anticiper la conservation de la situation sonore apaisée actuelle.",OAP,page 22,ZONE CALME,Préserver le calme du jardin universitaire,33.geojson,Strasbourg
34,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-cathedrale,"Message : Aux abords de la Cathédrale, il est recommandé d'améliorer le confort sonore de l'espace public par l'introduction de végétal. Attention les gains acoustiques apportés par les substrats et l'amélioration du ressenti apportée par le végétal sont prouvés, mais rien ne prouve que le végétal permet de réduire les niveaux de bruit.
Docs sources : OAP
références : page 26","Aux abords de la Cathédrale, il est recommandé d'améliorer le confort sonore de l'espace public par l'introduction de végétal. Attention les gains acoustiques apportés par les substrats et l'amélioration du ressenti apportée par le végétal sont prouvés, mais rien ne prouve que le végétal permet de réduire les niveaux de bruit.",OAP,page 26,ZONE SOUMISE AU BRUIT,Confort sonore par végétalisation aux abords de la Cathédrale,34.geojson,Strasbourg
2,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-autorisation-spr,"Message : Au sein du Secteur Patrimonial Remarquable, plusieurs interventions sont autorisées afin d'améliorer l'habitabilité : isolation acoustique, isolation thermique, hygiène, accessibilité.
Concrètement il s'agit : 
- du remplacement des menuiseries dégradées ou de leurs profils et verres,
- de la pose d'une double menuiserie intérieure, 
- du remplacement ou modification des ouvrages en surplomb. 
Chaque intervention reste conditionnée au respect des éléments patrimoniaux et historiques. Avant travaux, vérifiez la compatibilité de votre projet avec ces exigences et rapprochez-vous d'un professionnel qualifié ou de l'architecte des Bâtiments de France.
Docs sources : PSMV
références : Article 7 / Article 4","Au sein du Secteur Patrimonial Remarquable, plusieurs interventions sont autorisées afin d'améliorer l'habitabilité : isolation acoustique, isolation thermique, hygiène, accessibilité.
Concrètement il s'agit : 
- du remplacement des menuiseries dégradées ou de leurs profils et verres,
- de la pose d'une double menuiserie intérieure, 
- du remplacement ou modification des ouvrages en surplomb. 
Chaque intervention reste conditionnée au respect des éléments patrimoniaux et historiques. Avant travaux, vérifiez la compatibilité de votre projet avec ces exigences et rapprochez-vous d'un professionnel qualifié ou de l'architecte des Bâtiments de France.",PSMV,Article 7 / Article 4,ZONE SOUMISE AU BRUIT,Travaux d'habitabilité en Secteur Patrimonial Remarquable,2.geojson,Strasbourg
6,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-vlio,"Message : Sur le secteur ""Porte de Hausbergen"", la Voie de Liaison Intercommunale Ouest est identifiée comme une source de nuisances sonores. Il est recommandé, lors de l'aménagement du site, de densifier les espaces verts entre la VLIO et les logements pour assurer une protection phonique. Attention, les distances et densité de végétal nécessaires pour assurer un impact acoustique significatif sont importantes (cf partie recommandations de diagBruit).
Docs sources : OAP
références : page 306","Sur le secteur ""Porte de Hausbergen"", la Voie de Liaison Intercommunale Ouest est identifiée comme une source de nuisances sonores. Il est recommandé, lors de l'aménagement du site, de densifier les espaces verts entre la VLIO et les logements pour assurer une protection phonique. Attention, les distances et densité de végétal nécessaires pour assurer un impact acoustique significatif sont importantes (cf partie recommandations de diagBruit).",OAP,page 306,ZONE SOUMISE AU BRUIT,Écran végétal anti-bruit secteur Porte de Hausbergen,6.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
7,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-Marechaux,"Message : Pour limiter le bruit sur le secteur de la zone d'activité ""des Maréchaux"", L'OAP intercommunale recommande aux aménageurs et constructeurs de mettre en oeuvre des techniques de masquage des batiments en jouant sur l'implantation et la hauteur du bâti (documentation à venir sur diagBruit).
Docs sources : OAP
références : page 312","Pour limiter le bruit sur le secteur de la zone d'activité ""des Maréchaux"", L'OAP intercommunale recommande aux aménageurs et constructeurs de mettre en oeuvre des techniques de masquage des batiments en jouant sur l'implantation et la hauteur du bâti (documentation à venir sur diagBruit).",OAP,page 312,ZONE SOUMISE AU BRUIT,"Masquage du bâti recommandé, zone des Maréchaux",7.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
8,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-Floralies,"Message : Pour limiter les nuisances sonore de la voie ferrée dans le secteur « à l'Ouest de la rue des Floralies », il est recommandé d'agir sur :
- le maillage des voies, 
- les ouvertures et fermetures visuelles, 
- l'implantation du bâti
- la hauteur du bâti.
Anticipez ces choix d'aménagement dès la conception de votre projet en faisant appel à un spécialiste en acoustique.
Docs sources : OAP
références : page 278","Pour limiter les nuisances sonore de la voie ferrée dans le secteur « à l'Ouest de la rue des Floralies », il est recommandé d'agir sur :
- le maillage des voies, 
- les ouvertures et fermetures visuelles, 
- l'implantation du bâti
- la hauteur du bâti.
Anticipez ces choix d'aménagement dès la conception de votre projet en faisant appel à un spécialiste en acoustique.",OAP,page 278,ZONE SOUMISE AU BRUIT,"Nuisances voie ferrée, secteur Ouest rue des Floralies",8.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
9,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-ostwald,"Message : Dans le secteur Sud-Ouest d'Ostwald (plus particulièrement si votre parcelle borde la voie structurante Rue E. Bugatti/Allée du Bohrie), il est recommandé de concentrer les hauteurs de construction les plus importantes : 
- le long de la voie ferrée, 
- à proximité de la gare,
- le long de la liaison Est-Ouest proche du futur passage sur la voie ferrée. 
Ces bâtiments plus hauts contribuent à protéger le secteur du bruit ferroviaire et routier. Faites étudiez les hauteurs de votre projet par un acousticien pour optimiser cette qualité de protection acoustique.
Docs sources : OAP
références : page 332","Dans le secteur Sud-Ouest d'Ostwald (plus particulièrement si votre parcelle borde la voie structurante Rue E. Bugatti/Allée du Bohrie), il est recommandé de concentrer les hauteurs de construction les plus importantes : 
- le long de la voie ferrée, 
- à proximité de la gare,
- le long de la liaison Est-Ouest proche du futur passage sur la voie ferrée. 
Ces bâtiments plus hauts contribuent à protéger le secteur du bruit ferroviaire et routier. Faites étudiez les hauteurs de votre projet par un acousticien pour optimiser cette qualité de protection acoustique.",OAP,page 332,ZONE SOUMISE AU BRUIT,"Hauteurs bâties anti-bruit, secteur Sud-Ouest Ostwald",9.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
10,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-secteur-nord-reichstett,"Message : Le « Secteur Nord » de Reichstett est exposé au bruit de la D63. 
Pour limiter les impacts sonores, vous pouvez agir sur : 
- le maillage des voies, 
- les ouvertures et fermetures visuelles, 
- l'implantation du bâti,
- la hauteur du bâti, 
- la répartition des programmes. 
Faites vous accompagner par un spécialiste acoustique dès la conception de votre projet.
Docs sources : OAP
références : page 374","Le « Secteur Nord » de Reichstett est exposé au bruit de la D63. 
Pour limiter les impacts sonores, vous pouvez agir sur : 
- le maillage des voies, 
- les ouvertures et fermetures visuelles, 
- l'implantation du bâti,
- la hauteur du bâti, 
- la répartition des programmes. 
Faites vous accompagner par un spécialiste acoustique dès la conception de votre projet.",OAP,page 374,ZONE SOUMISE AU BRUIT,Nuisances sonores D63 — Secteur Nord,10.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
11,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-Souffel,"Message : Sur le « Secteur d'extension Ouest rue de l'Industrie » à Souffelweyersheim il est recommandé de mettre en oeuvre des protections acoustiques renforcées : 
- double peau, 
- protections amovibles pour les prolongements extérieurs.
Consultez un acousticien pour évaluer les solutions adaptées à votre projet.
Docs sources : OAP
références : page 421","Sur le « Secteur d'extension Ouest rue de l'Industrie » à Souffelweyersheim il est recommandé de mettre en oeuvre des protections acoustiques renforcées : 
- double peau, 
- protections amovibles pour les prolongements extérieurs.
Consultez un acousticien pour évaluer les solutions adaptées à votre projet.",OAP,page 421,ZONE SOUMISE AU BRUIT,"Protections acoustiques renforcées, secteur extension Ouest",11.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
12,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-souffel-ii,"Message : Le « Secteur Pointe de la Souffel II » prescrit la prise en compte du bruit dès la conception du projet. La volumétrie du bâti, la dispersion des nuisances, les protections à mettre en place devront être anticipée dés le plan d'aménagement. Les bâtiments devront également répondre à des exigences d'isolement acoustique renforcé :
- double peau, 
- protections amovibles pour les prolongements extérieurs.
Consultez un acousticien pour définir les solutions adaptées à votre projet.
Docs sources : OAP
références : page 425","Le « Secteur Pointe de la Souffel II » prescrit la prise en compte du bruit dès la conception du projet. La volumétrie du bâti, la dispersion des nuisances, les protections à mettre en place devront être anticipée dés le plan d'aménagement. Les bâtiments devront également répondre à des exigences d'isolement acoustique renforcé :
- double peau, 
- protections amovibles pour les prolongements extérieurs.
Consultez un acousticien pour définir les solutions adaptées à votre projet.",OAP,page 425,ZONE SOUMISE AU BRUIT,Prise en compte du bruit - Pointe de la Souffel II,12.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
